-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-9.570819,9.020008,36.730099 | 38.399700,-1162.799072,0.000000
-1995.428833,2159.425293,43.949436 | 81.599686,-1983.596680,0.000000
-1995.428833,2159.425293,43.949436 | 81.599686,-1983.596680,0.000000
-1995.428833,2159.425293,43.949436 | 81.599686,-1983.596680,0.000000
-1995.428833,2159.425293,43.949436 | 81.599686,-1983.596680,0.000000
150.000000,-40.000000,14.741178 | 90.000000,0.000000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,0.000000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,0.000000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,0.000000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,0.000000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,0.000000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,-0.600000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,-0.600000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,-0.600000,0.000000
150.000000,-40.000000,14.741178 | 90.000000,-0.600000,0.000000
-488.000000,1320.000000,36.730099 | 56.399700,-1162.199097,0.000000
-488.000000,1320.000000,36.730099 | 56.399700,-1162.199097,0.000000
